Scene,Character,Line
1,monica,There's nothing to tell! He's just some guy I work with!
1,joey,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
1,chandler,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
1,phoebe,"Wait, does he eat chalk?"
1,phoebe,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
1,monica,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
1,chandler,Sounds like a date to me.
1,chandler,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
1,all,"Oh, yeah. Had that dream."
1,chandler,"Then I look down, and I realize there's a phone... there."
1,joey,Instead of...?
1,chandler,That's right.
1,joey,Never had that dream.
1,phoebe,No.
1,chandler,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
1,monica,And they weren't looking at you before?!
1,chandler,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
1,ross,Hi.
1,joey,"This guy says hello, I wanna kill myself."
1,monica,"Are you okay, sweetie?"
1,ross,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
1,chandler,Cookie?
1,monica,Carol moved her stuff out today.
1,joey,Ohh.
1,monica,Let me get you some coffee.
1,ross,Thanks.
1,phoebe,Ooh! Oh!
1,ross,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
1,phoebe,Fine! Be murky!
1,ross,"I'll be fine, alright? Really, everyone. I hope she'll be very happy."
1,monica,No you don't.
1,ross,"No I don't, to hell with her, she left me!"
1,joey,And you never knew she was a lesbian...
1,ross,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
1,chandler,Sometimes I wish I was a lesbian... Did I say that out loud?
1,ross,"I told mom and dad last night, they seemed to take it pretty well."
1,monica,"Oh really, so that hysterical phone call I got from a woman at sobbing 3 00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?"
1,ross,Sorry.
1,joey,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
1,joey,"Strip joint! C'mon, you're single! Have some hormones!"
1,ross,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
1,chandler,And I just want a million dollars!
1,monica,Rachel?!
1,rachel,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
1,waitress,Can I get you some coffee?
1,monica,"This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
1,rachel,"Hi, sure!"
1,ross,Hi.
1,monica,"So you wanna tell us now, or are we waiting for four wet bridesmaids?"
1,rachel,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
1,monica,Who wasn't invited to the wedding.
1,rachel,"Ooh, I was kinda hoping that wouldn't be an issue..."
1,monica,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
1,chandler,Tuna or egg salad? Decide!
1,ross,I'll have whatever Christine is having.
1,rachel,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"
1,phoebe,"If I let go of my hair, my head will fall off."
1,chandler,"Ooh, she should not be wearing those pants."
1,joey,I say push her down the stairs.
1,"phoebe, ross, chandler, and joey",Push her down the stairs! Push her down the stairs! Push her down the stairs!
1,rachel,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
1,ross,You can see where he'd have trouble.
1,rachel,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
1,monica,"Well, I guess we've established who's staying here with Monica..."
1,rachel,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
1,monica,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
1,phoebe,bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...
1,rachel,I'm all better now.
1,phoebe,I helped!
1,monica,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing."
1,joey,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
1,monica,"Joey, stop hitting on her! It's her wedding day!"
1,joey,"What, like there's a rule or something?"
1,chandler,"Please don't do that again, it's a horrible sound."
1,paul,"It's, uh, it's Paul."
1,monica,"Oh God, is it 6 30? Buzz him in!"
1,joey,Who's Paul?
1,ross,"Paul the Wine Guy, Paul?"
1,monica,Maybe. Joey Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
1,ross,He finally asked you out?
1,monica,Yes!
1,chandler,"Ooh, this is a Dear Diary moment."
1,monica,"Rach, wait, I can cancel..."
1,rachel,"Please, no, go, that'd be fine!"
1,monica,"Are, are you okay? I mean, do you want me to stay?"
1,ross,That'd be good...
1,monica,Really?
1,ross,"No, go on! It's Paul the Wine Guy!"
1,phoebe,"What does that mean?  Does he sell it, drink it, or just complain a lot?"
1,monica,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
1,all,Hey! Paul! Hi! The Wine Guy! Hey!
1,chandler,"I'm sorry, I didn't catch your name. Paul, was it?"
1,monica,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah..."
1,ross,A wandering?
1,monica,"Change! Okay, sit down. Two seconds."
1,phoebe,"Ooh, I just pulled out four eyelashes. That can't be good."
1,joey,"Hey, Paul!"
1,paul,Yeah?
1,joey,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
1,monica,"Shut up, Joey!"
1,ross,"So Rachel, what're you, uh... what're you up to tonight?"
1,rachel,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
1,ross,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
1,chandler,"Yes, and we're very excited about it."
1,rachel,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day."
1,ross,"Okay, sure."
1,joey,"Hey Pheebs, you wanna help?"
1,phoebe,"Oh, I wish I could, but I don't want to."
2,phoebe,La-la-la-la...ohhh!
3,ross,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
3,joey,I'm thinking we've got a bookcase here.
3,chandler,It's a beautiful thing.
3,joey,What's this?
3,chandler,I would have to say that is an 'L'-shaped bracket.
3,joey,Which goes where?
3,chandler,I have no idea.
3,joey,Done with the bookcase!
3,chandler,All finished!
3,ross,"This was Carol's favorite beer. She always drank it out of the can, I should have known."
3,joey,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
3,chandler,"Yes, please don't spoil all this fun."
3,joey,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
3,ross,You guys.
3,chandler,"Oh, God."
3,joey,You got screwed.
3,chandler,Oh my God!
4,monica,Oh my God!
